Station ID,Station name,Variable,Position/depth (AGL) (m),Sensor Mfg,Sensor Model
WIEM8,Winnett SW,T [K],2,Vaisala,HMP155E
KEEM8,Absarokee,SOILM20 [%],0.5,Acclima,TDR-310N
ASAM8,Ashland E,SOILM20 [%],0.5,Acclima,TDR-310N
BLWM8,Benton Lake W,SOILM20 [%],0.5,Acclima,TDR-310N
BSWM8,Big Sandy NW,SOILM20 [%],0.5,Acclima,TDR-310N
BSWM8,Big Sandy NW,SOILM20 [%],0.5,Acclima,TDR-310N
BTSM8,Big Timber SE,SOILM20 [%],0.5,Acclima,TDR-310N
BNWM8,Bowmans Corner NW,SOILM20 [%],0.5,Acclima,TDR-310N
BZNM8,Bozeman,SOILM20 [%],0.5,Acclima,TDR-310N
BZNM8,Bozeman,SOILM20 [%],0.5,Acclima,TDR-310N
BRYM8,Brady NE,SOILM20 [%],0.5,Acclima,TDR-310N
BDVM8,Broadview,SOILM20 [%],0.5,Acclima,TDR-310N
BSEM8,Big Sandy SE,SOILM20 [%],0.5,Acclima,TDR-310N
BSEM8,Big Sandy SE,SOILM20 [%],0.5,Acclima,TDR-310N
BUFM8,Buffalo Lake E,SOILM20 [%],0.5,Acclima,TDR-310N
BUFM8,Buffalo Lake E,SOILM20 [%],0.5,Acclima,TDR-310N
BUSM8,Busby S,SOILM20 [%],0.5,Acclima,TDR-310N
BYUM8,Bynum W,SOILM20 [%],0.5,Acclima,TDR-310N
CRNM8,Carter N,SOILM20 [%],0.5,Acclima,TDR-310N
CRNM8,Carter N,SOILM20 [%],0.5,Acclima,TDR-310N
CHSM8,Chester SW,SOILM20 [%],0.5,Acclima,TDR-310N
CSTM8,Christina W,SOILM20 [%],0.5,Acclima,TDR-310N
CSTM8,Christina W,SOILM20 [%],0.5,Acclima,TDR-310N
CFCM8,Coffee Creek N,SOILM20 [%],0.5,Acclima,TDR-310N
CNNM8,Conrad N,SOILM20 [%],0.5,Acclima,TDR-310N
CNNM8,Conrad N,SOILM20 [%],0.5,Acclima,TDR-310N
COOM8,Cooney Reservoir NW,SOILM20 [%],0.5,Acclima,TDR-310N
CROM8,Crow Agency,SOILM20 [%],0.5,Acclima,TDR-310N
DOGM8,Dog Gun Lake E,SOILM20 [%],0.5,Acclima,TDR-310N
DOGM8,Dog Gun Lake E,SOILM20 [%],0.5,Acclima,TDR-310N
DRYM8,Dry Lake,SOILM20 [%],0.5,Acclima,TDR-310N
DRYM8,Dry Lake,SOILM20 [%],0.5,Acclima,TDR-310N
DYRM8,Dupuyer N,SOILM20 [%],0.5,Acclima,TDR-310N
FRGM8,Forestgrove N,SOILM20 [%],0.5,Acclima,TDR-310N
FOXM8,Fox Crossing SW,SOILM20 [%],0.5,Acclima,TDR-310N
FOXM8,Fox Crossing SW,SOILM20 [%],0.5,Acclima,TDR-310N
HWTM8,Harlowton E,SOILM20 [%],0.5,Acclima,TDR-310N
HAEM8,Havre,SOILM20 [%],0.5,Acclima,TDR-310N
HIWM8,Highwood Bench,SOILM20 [%],0.5,Acclima,TDR-310N
HIWM8,Highwood Bench,SOILM20 [%],0.5,Acclima,TDR-310N
HOGM8,Hogeland SW,SOILM20 [%],0.5,Acclima,TDR-310N
HOGM8,Hogeland SW,SOILM20 [%],0.5,Acclima,TDR-310N
HNTM8,Huntley E,SOILM20 [%],0.5,Acclima,TDR-310N
IGMM8,Ingomar,SOILM20 [%],0.5,Acclima,TDR-310N
INNM8,Inverness N,SOILM20 [%],0.5,Acclima,TDR-310N
INNM8,Inverness N,SOILM20 [%],0.5,Acclima,TDR-310N
ISSM8,Inverness S,SOILM20 [%],0.5,Acclima,TDR-310N
ISSM8,Inverness S,SOILM20 [%],0.5,Acclima,TDR-310N
JGPM8,Judith Gap,SOILM20 [%],0.5,Acclima,TDR-310N
JGPM8,Judith Gap,SOILM20 [%],0.5,Acclima,TDR-310N
LTBM8,Lake Thibadeau W,SOILM20 [%],0.5,Acclima,TDR-310N
LTBM8,Lake Thibadeau W,SOILM20 [%],0.5,Acclima,TDR-310N
LMDM8,Lame Deer E,SOILM20 [%],0.5,Acclima,TDR-310N
LVAM8,Lavina N,SOILM20 [%],0.5,Acclima,TDR-310N
LGGM8,Lodge Grass W,SOILM20 [%],0.5,Acclima,TDR-310N
LOAM8,Loma N,SOILM20 [%],0.5,Acclima,TDR-310N
LOAM8,Loma N,SOILM20 [%],0.5,Acclima,TDR-310N
LORM8,Loring SW,SOILM20 [%],0.5,Acclima,TDR-310N
MTRM8,Matador Ranch,SOILM20 [%],0.5,Acclima,TDR-310N
MLVM8,Melville,SOILM20 [%],0.5,Acclima,TDR-310N
RADM8,Midway Colony,SOILM20 [%],0.5,Acclima,TDR-310N
MCYM8,Miles City,SOILM20 [%],0.5,Acclima,TDR-310N
MINM8,Mission Lake S,SOILM20 [%],0.5,Acclima,TDR-310N
MINM8,Mission Lake S,SOILM20 [%],0.5,Acclima,TDR-310N
MCIM8,Moccasin,SOILM20 [%],0.5,Acclima,TDR-315N
MOTM8,Molt S,SOILM20 [%],0.5,Acclima,TDR-310N
MOYM8,Mosby S,SOILM20 [%],0.5,Acclima,TDR-310N
MOBM8,Mosby NW,SOILM20 [%],0.5,Acclima,TDR-310N
MTLM8,Mt Lebanon SE,SOILM20 [%],0.5,Acclima,TDR-310N
MTLM8,Mt Lebanon SE,SOILM20 [%],0.5,Acclima,TDR-310N
MSSM8,Musselshell,SOILM20 [%],0.5,Acclima,TDR-310N
OILM8,Oilmont,SOILM20 [%],0.5,Acclima,TDR-310N
OTRM8,Otter E,SOILM20 [%],0.5,Acclima,TDR-310N
RAPM8,Rapelje SW,SOILM20 [%],0.5,Acclima,TDR-310N
RMYM8,Rothiemay W,SOILM20 [%],0.5,Acclima,TDR-310N
ROUM8,Roundup,SOILM20 [%],0.5,Acclima,TDR-315N
RYOM8,Roy E,SOILM20 [%],0.5,Acclima,TDR-310N
RGTM8,Ryegate S,SOILM20 [%],0.5,Acclima,TDR-310N
SASM8,Saco S,SOILM20 [%],0.5,Acclima,TDR-310N
SDSM8,Sand Springs NW,SOILM20 [%],0.5,Acclima,TDR-310N
SVYM8,Savoy SW,SOILM20 [%],0.5,Acclima,TDR-310N
SVYM8,Savoy SW,SOILM20 [%],0.5,Acclima,TDR-310N
SCYM8,Scobey NW,SOILM20 [%],0.5,Acclima,TDR-310N
SIYM8,Sidney,SOILM20 [%],0.5,Acclima,TDR-310N
SBSM8,Sunburst NW,SOILM20 [%],0.5,Acclima,TDR-310N
SBSM8,Sunburst NW,SOILM20 [%],0.5,Acclima,TDR-310N
SURM8,Sun River SE,SOILM20 [%],0.5,Acclima,TDR-310N
TTNM8,Toston,SOILM20 [%],0.5,Acclima,TDR-310N
TTNM8,Toston,SOILM20 [%],0.5,Acclima,TDR-310N
TRNM8,Turner N,SOILM20 [%],0.5,Acclima,TDR-310N
TWOM8,Twodot E,SOILM20 [%],0.5,Acclima,TDR-310N
VLTM8,Dovetail,SOILM20 [%],0.5,Acclima,TDR-310N
WRHM8,War Horse NW,SOILM20 [%],0.5,Acclima,TDR-310N
WNFM8,Woodhawk,SOILM20 [%],0.5,Acclima,TDR-310N
WNFM8,Woodhawk,SOILM20 [%],0.5,Acclima,TDR-310N
WIEM8,Winnett SW,SOILM20 [%],0.5,Acclima,TDR-310N
KEEM8,Absarokee,FF [m/s],10,RM Young,09106
ASAM8,Ashland E,FF [m/s],10,RM Young,05108-74
BLWM8,Benton Lake W,FF [m/s],10,RM Young,05108-74
BSWM8,Big Sandy NW,FF [m/s],10,RM Young,05108-74
BTSM8,Big Timber SE,FF [m/s],10,RM Young,05108-74
BNWM8,Bowmans Corner NW,FF [m/s],10,RM Young,05108-74
